frame_idx,time_sec,foot,knee_angle,knee_status,foot_strike_angle,foot_strike_status,overstride_distance,overstride_status,hip_y,is_foot_strike
101,1.6833,,,,,,,,0.4886351835802486,False
102,1.7,,,,,,,,0.4872891210108454,False
103,1.7167,,,,,,,,0.4861373633087325,False
104,1.7333,,,,,,,,0.48612058870831354,False
105,1.75,,,,,,,,0.48674773721807885,False
106,1.7667,right,156.1465141159864,borderline,-68.48880384920848,forefoot_strike,0.055848172309119815,good_stride,0.48761542994454565,True
107,1.7833,,,,,,,,0.48860435591947116,False
108,1.8,,,,,,,,0.489552303468103,False
109,1.8167,,,,,,,,0.4908089040886786,False
110,1.8333,,,,,,,,0.49181935738328425,False
111,1.85,,,,,,,,0.4930449965611132,False
112,1.8667,,,,,,,,0.49400386406456254,False
113,1.8833,,,,,,,,0.49463971566200854,False
114,1.9,,,,,,,,0.4948922189443784,False
115,1.9167,left,156.70708710914246,borderline,-20.451762644273867,forefoot_strike,0.03287649525113173,good_stride,0.4947038003432864,True
116,1.9333,,,,,,,,0.4944896245596719,False
117,1.95,,,,,,,,0.49387308132505536,False
118,1.9667,,,,,,,,0.49297183000524064,False
119,1.9833,,,,,,,,0.4921799329457405,False
120,2.0,,,,,,,,0.49125867517208144,False
121,2.0167,,,,,,,,0.49044743804179874,False
122,2.0333,,,,,,,,0.4897506706746506,False
123,2.05,,,,,,,,0.4892250148390028,False
124,2.0667,,,,,,,,0.48913572966501656,False
125,2.0833,,,,,,,,0.4895863753419123,False
126,2.1,,,,,,,,0.4903499163696723,False
127,2.1167,,,,,,,,0.4915950449022379,False
128,2.1333,,,,,,,,0.4929385711421055,False
129,2.15,,,,,,,,0.4943825783991772,False
130,2.1667,,,,,,,,0.4957914790160535,False
131,2.1833,,,,,,,,0.4971425015656269,False
132,2.2,,,,,,,,0.49852862380771057,False
133,2.2167,,,,,,,,0.4998581101451368,False
134,2.2333,,,,,,,,0.5009445541186216,False
135,2.25,,,,,,,,0.5017137657599411,False
136,2.2667,right,157.33509399352712,borderline,-14.817269727806032,forefoot_strike,0.02744902100125557,good_stride,0.502052122177405,True
137,2.2833,,,,,,,,0.5010484006990092,False
138,2.3,,,,,,,,0.49974846079053814,False
139,2.3167,,,,,,,,0.49821963216383414,False
140,2.3333,,,,,,,,0.4967608201555854,False
141,2.35,,,,,,,,0.49542297160141524,False
142,2.3667,,,,,,,,0.49406842708570947,False
143,2.3833,,,,,,,,0.4927158906919757,False
144,2.4,,,,,,,,0.4916059138375561,False
145,2.4167,,,,,,,,0.4906454717153337,False
146,2.4333,,,,,,,,0.48985480835118866,False
147,2.45,,,,,,,,0.4901830577441949,False
148,2.4667,,,,,,,,0.490567587929797,False
149,2.4833,,,,,,,,0.49110226715389893,False
150,2.5,,,,,,,,0.49158295478759484,False
151,2.5167,,,,,,,,0.49235181745574286,False
152,2.5333,,,,,,,,0.49292368537432113,False
153,2.55,,,,,,,,0.4933916851485186,False
154,2.5667,,,,,,,,0.49366385650183886,False
155,2.5833,,,,,,,,0.4935147392230242,False
156,2.6,left,160.99404753034418,borderline,-18.024175852833164,forefoot_strike,0.020775756010796786,good_stride,0.4932939413604185,True
157,2.6167,,,,,,,,0.4924179899530544,False
158,2.6333,,,,,,,,0.4913475411538274,False
159,2.65,,,,,,,,0.4903896973577125,False
160,2.6667,,,,,,,,0.489304449562608,False
161,2.6833,,,,,,,,0.48837430862454784,False
162,2.7,,,,,,,,0.48746659756712624,False
163,2.7167,,,,,,,,0.48654124381833075,False
164,2.7333,,,,,,,,0.4858521004942716,False
165,2.75,,,,,,,,0.4854550470054709,False
166,2.7667,,,,,,,,0.4853692748633309,False
167,2.7833,,,,,,,,0.48658949886994546,False
168,2.8,,,,,,,,0.4879724315696957,False
169,2.8167,,,,,,,,0.4900656377040246,False
170,2.8333,,,,,,,,0.49213681250456676,False
171,2.85,,,,,,,,0.49403171818359426,False
172,2.8667,,,,,,,,0.49586580862387075,False
173,2.8833,,,,,,,,0.4973865130410585,False
174,2.9,,,,,,,,0.49833293003700985,False
175,2.9167,,,,,,,,0.49907427345059646,False
176,2.9333,right,160.19244564074955,borderline,-12.752068715889052,forefoot_strike,0.023086391915038085,good_stride,0.4996427123551857,True
177,2.95,,,,,,,,0.498607800183626,False
178,2.9667,,,,,,,,0.4970914791409698,False
179,2.9833,,,,,,,,0.49525679442301007,False
180,3.0,,,,,,,,0.49325051193093516,False
181,3.0167,,,,,,,,0.49134810836845877,False
182,3.0333,,,,,,,,0.48915372840074917,False
183,3.05,,,,,,,,0.487040197305662,False
184,3.0667,,,,,,,,0.4854123812420291,False
185,3.0833,,,,,,,,0.4839156006747586,False
186,3.1,,,,,,,,0.48259375236807034,False
187,3.1167,,,,,,,,0.4828082816112245,False
188,3.1333,,,,,,,,0.48403018744658916,False
189,3.15,,,,,,,,0.48536549796974254,False
190,3.1667,,,,,,,,0.48668406257960845,False
191,3.1833,,,,,,,,0.48804894525274367,False
192,3.2,,,,,,,,0.48941967540104925,False
193,3.2167,,,,,,,,0.4906873094909114,False
194,3.2333,,,,,,,,0.49169670795774567,False
195,3.25,,,,,,,,0.4925132591316761,False
196,3.2667,left,160.3843442994141,borderline,-19.207447408128502,forefoot_strike,0.014445594426922448,good_stride,0.49316171199776365,True
197,3.2833,,,,,,,,0.4936211532863236,False
198,3.3,,,,,,,,0.49345671715232337,False
199,3.3167,,,,,,,,0.49270795377336085,False
200,3.3333,,,,,,,,0.491835650906837,False
201,3.35,,,,,,,,0.4908855041595931,False
202,3.3667,,,,,,,,0.49006819233740434,False
203,3.3833,,,,,,,,0.4893468470815607,False
204,3.4,,,,,,,,0.488826228252671,False
205,3.4167,,,,,,,,0.48839269070541724,False
206,3.4333,,,,,,,,0.48805553174789984,False
207,3.45,,,,,,,,0.4888206566404779,False
208,3.4667,,,,,,,,0.4899179356984911,False
209,3.4833,,,,,,,,0.491404333304962,False
210,3.5,,,,,,,,0.49291324495337074,False
211,3.5167,,,,,,,,0.4944551572995727,False
212,3.5333,,,,,,,,0.49590555262777053,False
213,3.55,,,,,,,,0.4972560267092868,False
214,3.5667,,,,,,,,0.4983039129722342,False
215,3.5833,,,,,,,,0.4991235693203899,False
216,3.6,right,159.09431433144087,borderline,-12.824570492941165,forefoot_strike,0.014116364035157924,good_stride,0.4997943762346828,True
217,3.6167,,,,,,,,0.4989353248604409,False
218,3.6333,,,,,,,,0.49780103819230415,False
219,3.65,,,,,,,,0.4959870268501092,False
220,3.6667,,,,,,,,0.49394844318836884,False
221,3.6833,,,,,,,,0.4920576350138629,False
222,3.7,,,,,,,,0.4902345510993448,False
223,3.7167,,,,,,,,0.48839169789425874,False
224,3.7333,,,,,,,,0.4864981094773231,False
225,3.75,,,,,,,,0.4848398740916172,False
226,3.7667,,,,,,,,0.4834229688979216,False
227,3.7833,,,,,,,,0.4833303083557439,False
228,3.8,right,154.04815135437752,good_flexion,-70.53501026867194,forefoot_strike,0.06748483576925596,good_stride,0.4836411841893097,True
229,3.8167,,,,,,,,0.484927861367449,False
230,3.8333,,,,,,,,0.48607201177027026,False
231,3.85,,,,,,,,0.48739270262294915,False
232,3.8667,,,,,,,,0.48876171487476644,False
233,3.8833,,,,,,,,0.49001497375064423,False
234,3.9,,,,,,,,0.4910651653697736,False
235,3.9167,,,,,,,,0.49194009915873993,False
236,3.9333,,,,,,,,0.49265182257614504,False
